nameBREF,nameActual
slugSeason,slugSeason
yearSeason,yearSeason
Rk,numberPlayer
idPlayer,slugPlayerBREF
Player,namePlayer
Pos,slugPosition
Age,agePlayer
Tm,slugTeamBREF
G,countGames
GS,countGamesStarted
MP,minutes
FG,fgm
FGA,fga
FG%,pctFG
3P,fg3m
3PA,fg3a
3P%,pctFG3
2P,fg2m
2PA,fg2a
2P%,pctFG2
eFG%,pctEFG
FT,ftm
FTA,fta
FT%,pctFT
ORB,orb
DRB,drb
TRB,trb
AST,ast
STL,stl
BLK,blk
TOV,tov
PF,pf
PS/G,pts
urlData,urlData
PTS,pts
PER,ratioPER
TS.,pctTrueShooting
X3PAr,pct3PRate
FTr,pctFTRate
ORB.,pctORB
DRB.,pctDRB
TRB.,pctTRB
AST.,pctAST
STL.,pctSTL
BLK.,pctBLK
TOV.,pctTOV
USG.,pctUSG
OWS,ratioOWS
DWS,ratioDWS
WS,ratioWS
WS.48,ratioWSPer48
OBPM,ratioOBPM
DBPM,ratioDBPM
BPM,ratioBPM
VORP,ratioVORP
FG.,pctFG
X3P,fg3m
X3PA,fg3a
X3P.,pctFG3
X2P,fg2m
X2PA,fg2a
X2P.,pctFG2
eFG.,pctEFG
FT.,pctFT
PS.G,pts
Team,nameTeam
