nameActual,nameNBA,nameBREF
agePlayer,AGE,Age
agePlayer,PLAYER_AGE,Age
ar,ar,NA
articleHeadline,Headline,NA
ast,AST,AST
ast,ast,AST
astOpponent,OPP_AST,NA
astOpponentRank,OPP_AST_RANK,NA
astPerGame,APG,NA
astPerGameTeam,AST_PG,NA
astRank,RANK_AST,NA
astRank,AST_RANK,NA
astRankF,F_RANK_AST,NA
astRankPer36,RANK_PMIN_AST,NA
astRankPerGame,RANK_PG_AST,NA
astSecondary,SAST,NA
blk,BLK,BLK
blk,blk,BLK
blka,BLKA,NA
blka,blka,NA
blkaOpponent,OPP_BLKA,NA
blkaOpponentRank,OPP_BLKA_RANK,NA
blkaRank,BLKA_RANK,NA
blkHelp,HELP_BLK,NA
blkHelpRecorded,HELP_BLK_REC,NA
blkOpponent,OPP_BLK,NA
blkOpponentRank,OPP_BLK_RANK,NA
blkPerGame,BPG,NA
blkRank,RANK_BLK,NA
blkRank,BLK_RANK,NA
blkRankF,F_RANK_BLK,NA
blkRankPer36,RANK_PMIN_BLK,NA
blkRankPerGame,RANK_PG_BLK,NA
boxOutPlayerRebound,BOX_OUT_PLAYER,NA
boxOuts,BOX_OUTS,NA
boxOutsDefense,DEF_BOXOUTS,NA
boxOutsOffense,OFF_BOXOUTS,NA
boxOutsPlayerTeamRebound,BOX_OUT_PLAYER_TEAM_REBS,NA
boxOutsPlayerTREB,BOX_OUT_PLAYER_REBS,NA
capacityArena,ARENACAPACITY,NA
captionItem,ListItemCaption,NA
categoryAheadBehind,AheadBehind,NA
categoryClutchTime,ClutchTime,NA
categoryDefense,DefenseCategory,NA
categoryStat,StatCategory,NA
chargesDrawn,CHARGES_DRAWN,NA
cityArena,ac,NA
cityTeam,TEAM_CITY,NA
cityTeam,TEAM_CITY_NAME,NA
cityTeam,TeamCity,NA
cityTeam,CITY,NA
cityTeam,city,NA
cityTeam,tc,NA
cityTeamAlt,altCityName,NA
cityTeamAway,VISITOR_TEAM_NAME,NA
cityTeamAwayLast,LAST_GAME_VISITOR_TEAM_CITY,NA
cityTeamDefense,DEF_TEAM_CITY,NA
cityTeamHome,HOME_TEAM_NAME,NA
cityTeamHomeLast,LAST_GAME_HOME_TEAM_CITY,NA
cityTeamOffense,OFF_TEAM_CITY,NA
cityTeamPlayer1,PLAYER1_TEAM_CITY,NA
cityTeamPlayer2,PLAYER2_TEAM_CITY,NA
cityTeamPlayer3,PLAYER3_TEAM_CITY,NA
codePlayoffCling,clinchedPlayoffsCodeV2,NA
codePlayoffRemove,clinchedPlayoffsCode,NA
codeTeam,TEAM_CODE,NA
codeTeam,TeamCode,NA
countAllStarGames,ALL_STAR_APPEARANCES,NA
countAttendance,ATTENDANCE,NA
countAttendance,at,NA
countConferenceTitles,CONF_COUNT,NA
countDivisionTitles,DIV_COUNT,NA
countGames,GAMES_PLAYED,G
countGamesStarted,NA,GS
countLastNGames,LastNGames,NA
countLeadChanges,LEAD_CHANGES,NA
countLossesPlayoffs,PO_LOSSES,NA
countLossesSeriesSeasonHome,HOME_TEAM_LOSSES,NA
countryPlayer,COUNTRY,NA
countSeasonsPlayed,SEASON_EXP,NA
countTies,TIMES_TIED,NA
countWinsPlayoffs,PO_WINS,NA
countWinsSeriesSeasonHome,HOME_TEAM_WINS,NA
countYearsExperience,EXP,NA
countYearsPro,yearsPro,NA
dataDraft,draft,NA
dataTeams,teams,NA
dateBirth,BIRTH_DATE,NA
dateBirth,dateOfBirthUTC,NA
dateGame,GAME_DATE,NA
dateGame,GAME_DATE_EST,NA
dateGame,gdte,NA
dateGameLast,LAST_GAME_DATE_EST,NA
dateGameLastPlayed,MAX_GAME_DATE,NA
dateGameUTC,gdtutc,NA
dateISO,Date,NA
dateStandings,STANDINGSDATE,NA
datetimeBirth,BIRTHDATE,NA
datetimeGameAway,vtm,NA
datetimeGameEastCoast,etm,NA
datetimeGameHome,htm,NA
datetimePublished,ListItemPubDate,NA
datetimeUpdatedLast,lastUpdate,NA
dateTransaction,TRANSACTION_DATE,NA
dd2,DD2,NA
dd2Rank,DD2_RANK,NA
deflections,DEFLECTIONS,NA
descriptionComment,COMMENT,NA
descriptionGameStatus,GAME_STATUS_TEXT,NA
descriptionItem,ListItemDescription,NA
descriptionNBAFinalsAppearance,NBA_FINALS_APPEARANCE,NA
descriptionPlay,DESCRIPTION,NA
descriptionPlayHome,HOMEDESCRIPTION,NA
descriptionPlayNeutral,NEUTRALDESCRIPTION,NA
descriptionPlayVisitor,VISITORDESCRIPTION,NA
descriptionSeriesLeader,SERIES_LEADER,NA
descriptionStat,memo,NA
descriptionTransaction,TRANSACTION_DESCRIPTION,NA
